mpg,cylinders,displacement,weight,acceleration,model year,horsepower,origin,car name
18,8,307,3504,12,70,130,1,chevrolet chevelle malibu
15,8,350,3693,11.5,70,165,1,buick skylark 320
18,8,318,3436,11,70,150,1,plymouth satellite
16,8,304,3433,12,70,150,1,amc rebel sst
17,8,302,3449,10.5,70,140,1,ford torino
15,8,429,4341,10,70,198,1,ford galaxie 500
14,8,454,4354,9,70,220,1,chevrolet impala
14,8,440,4312,8.5,70,215,1,plymouth fury iii
14,8,455,4425,10,70,225,1,pontiac catalina
15,8,390,3850,8.5,70,190,1,amc ambassador dpl
15,8,383,3563,10,70,170,1,dodge challenger se
14,8,340,3609,8,70,160,1,plymouth 'cuda 340
15,8,400,3761,9.5,70,150,1,chevrolet monte carlo
14,8,455,3086,10,70,225,1,buick estate wagon (sw)
24,4,113,2372,15,70,95,3,toyota corona mark ii
22,6,198,2833,15.5,70,95,1,plymouth duster
18,6,199,2774,15.5,70,97,1,amc hornet
21,6,200,2587,16,70,85,1,ford maverick
27,4,97,2130,14.5,70,88,3,datsun pl510
26,4,97,1835,20.5,70,46,2,volkswagen 1131 deluxe sedan
25,4,110,2672,17.5,70,87,2,peugeot 504
24,4,107,2430,14.5,70,90,2,audi 100 ls
25,4,104,2375,17.5,70,95,2,saab 99e
26,4,121,2234,12.5,70,113,2,bmw 2002
21,6,199,2648,15,70,90,1,amc gremlin
10,8,360,4615,14,70,215,1,ford f250
10,8,307,4376,15,70,200,1,chevy c20
11,8,318,4382,13.5,70,210,1,dodge d200
9,8,304,4732,18.5,70,193,1,hi 1200d
27,4,97,2130,14.5,71,88,3,datsun pl510
28,4,140,2264,15.5,71,90,1,chevrolet vega 2300
25,4,113,2228,14,71,95,3,toyota corona
25,4,98,2046,19,71,,1,ford pinto
19,6,232,2634,13,71,100,1,amc gremlin
16,6,225,3439,15.5,71,105,1,plymouth satellite custom
17,6,250,3329,15.5,71,100,1,chevrolet chevelle malibu
19,6,250,3302,15.5,71,88,1,ford torino 500
18,6,232,3288,15.5,71,100,1,amc matador
14,8,350,4209,12,71,165,1,chevrolet impala
14,8,400,4464,11.5,71,175,1,pontiac catalina brougham
14,8,351,4154,13.5,71,153,1,ford galaxie 500
